cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.4732992008592132,0.4425646161797308,-1.6237896580938616
B3,127,0.32523502260537157,0.2126486536137659,0.1866076268280236,0.5691125565153728
B1,102,0.29117526849105946,0.185296283218303,0.14484026294723704,0.5910188941261203
A5,298,0.3806257291729255,0.14245382855540203,0.09849955379299567,0.8594561706990421
A4,269,0.1989700349695507,0.14146630151496928,0.07332693465150687,0.49260272270828565
B2,115,0.284088770367457,0.11798833244332618,0.0952122654963312,0.8259944977514869
A7,300,0.37353883121969395,0.10829293455883295,0.06827146528492031,0.9156706407828554
A3,266,0.08716486212251803,0.057007692950787885,0.05005725800585248,0.570641762660093
A2,266,0.13076250811495926,0.04223544646281758,0.02678698914379127,0.8952814892328045
B5,54,0.018059886909890896,0.019292706944716083,0.017121290070547697,-0.16271740129857837
A6,266,0.027731084791132867,0.015668767737296942,0.015316273443048162,0.6795415475547664
A8,266,0.060791657706454956,0.01235817704543221,0.012008427896678562,0.9585182933662054
A1,267,0.10739007763040216,0.01214659548369128,0.011055388491226528,0.9871586569213785
B6,54,0.018391341700169612,0.004971067407253283,0.00356927882821362,0.9255627418521569
