mode,ox/red,error,control changes,Ns changes,counter inc.,Ns,I Range,time/s,control/V/mA,Ecell/V,I/mA,dq/mA.h,(Q-Qo)/mA.h,|Energy|/W.h,Q charge/discharge/mA.h,half cycle,Energy charge/W.h,Energy discharge/W.h,Capacitance charge/µF,Capacitance discharge/µF,step time/s,x,Q discharge/mA.h,Q charge/mA.h,Capacity/mA.h,Efficiency/%,control/V,control/mA,cycle number,P/W,R/Ohm
3,0,0,1,0,0,0,115,0.00E+00,0.00E+00,2.54E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1,0,0,0,0,0,1,112,1.00E+01,2.00E+03,2.67E+00,2.00E+03,1.11E-03,1.11E-03,2.96E-06,1.11E-03,0,2.96E-06,0.00E+00,0.00E+00,0.00E+00,1.00E+01,1.00E+00,0.00E+00,1.11E-03,1.11E-03,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.32E+00,1.34E+00
1,1,0,0,1,0,1,112,1.00E+01,2.00E+03,2.68E+00,2.00E+03,1.11E-03,2.22E-03,5.94E-06,2.22E-03,0,5.94E-06,0.00E+00,4.30E+05,0.00E+00,1.00E+01,1.00E+00,0.00E+00,2.22E-03,2.22E-03,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.36E+00,1.34E+00
1,1,0,0,0,0,1,112,4.00E+01,2.00E+03,2.90E+00,2.01E+03,1.67E+01,1.67E+01,4.80E-02,1.67E+01,0,4.80E-02,0.00E+00,2.59E+08,0.00E+00,4.00E+01,9.95E-01,0.00E+00,1.67E+01,1.67E+01,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.81E+00,1.44E+00
1,1,0,0,0,0,1,112,7.00E+01,2.00E+03,2.93E+00,2.01E+03,1.67E+01,3.34E+01,9.67E-02,3.34E+01,0,9.67E-02,0.00E+00,4.56E+08,0.00E+00,7.00E+01,9.90E-01,0.00E+00,3.34E+01,3.34E+01,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.87E+00,1.46E+00
1,1,0,0,0,0,1,112,1.00E+02,2.00E+03,2.95E+00,2.01E+03,1.67E+01,5.01E+01,1.46E-01,5.01E+01,0,1.46E-01,0.00E+00,6.27E+08,0.00E+00,1.00E+02,9.85E-01,0.00E+00,5.01E+01,5.01E+01,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.92E+00,1.47E+00
1,1,0,0,0,0,1,112,1.30E+02,2.00E+03,2.97E+00,2.01E+03,1.67E+01,6.69E+01,1.95E-01,6.69E+01,0,1.95E-01,0.00E+00,7.82E+08,0.00E+00,1.30E+02,9.81E-01,0.00E+00,6.69E+01,6.69E+01,0.00E+00,0.00E+00,2.00E+03,0.00E+00,5.96E+00,1.48E+00
1,1,0,0,0,0,1,112,1.60E+02,2.00E+03,2.99E+00,2.01E+03,1.67E+01,8.36E+01,2.45E-01,8.36E+01,0,2.45E-01,0.00E+00,9.27E+08,0.00E+00,1.60E+02,9.76E-01,0.00E+00,8.36E+01,8.36E+01,0.00E+00,0.00E+00,2.00E+03,0.00E+00,6.00E+00,1.49E+00
1,1,0,0,0,0,1,112,1.90E+02,2.00E+03,3.00E+00,2.01E+03,1.67E+01,1.00E+02,2.95E-01,1.00E+02,0,2.95E-01,0.00E+00,1.07E+09,0.00E+00,1.90E+02,9.71E-01,0.00E+00,1.00E+02,1.00E+02,0.00E+00,0.00E+00,2.00E+03,0.00E+00,6.03E+00,1.50E+00
1,1,0,0,0,0,1,112,2.20E+02,2.00E+03,3.02E+00,2.01E+03,1.67E+01,1.17E+02,3.46E-01,1.17E+02,0,3.46E-01,0.00E+00,1.20E+09,0.00E+00,2.20E+02,9.66E-01,0.00E+00,1.17E+02,1.17E+02,0.00E+00,0.00E+00,2.00E+03,0.00E+00,6.05E+00,1.50E+00
