ns,part,freq,fold,weight
1,re,952.0,A1,0.22544091112731512
1,re,1710.0,A1,0.26220587727115063
1,im,6.43,A1,0.501110771094388
1,im,90.6,A1,0.10954875089122154
1,im,394.0,A1,0.09679371828935521
6,re,1.33,A1,0.302548504488048
6,re,10.0,A1,0.3325122359997353
6,re,56.2,A1,0.3184260703761732
6,re,135.0,A1,0.18513534163300022
6,re,422.0,A1,0.09993257718471286
6,re,564.0,A1,0.13351348491074652
6,re,5620.0,A1,0.23163452033145263
6,im,23.7,A1,0.6638291477692999
6,im,31.6,A1,0.5131516949962267
6,im,42.2,A1,0.6100081647495476
6,im,316.0,A1,0.2840771025220907
6,im,422.0,A1,0.6443306771773287
6,im,750.0,A1,0.44316354245100686
6,im,1000.0,A1,0.09918501043997163
6,im,5620.0,A1,0.7303734052405599
1,re,710.0,A2,0.019110722307052887
1,im,6.43,A2,0.3823326186064203
1,im,50.3,A2,0.07989239561708245
1,im,394.0,A2,0.11357591736309317
1,im,4140.0,A2,0.027179465235888798
6,re,1.33,A2,0.2637981026172525
6,re,3.16,A2,0.15851266899115027
6,re,178.0,A2,0.09788273944004829
6,re,422.0,A2,0.029124321187644117
6,re,750.0,A2,0.04276662309022089
6,re,2370.0,A2,0.01793564640511874
6,re,7500.0,A2,0.3938107190838256
6,im,17.8,A2,0.602513462187597
6,im,23.7,A2,0.4356000364950671
6,im,178.0,A2,0.16151638779706975
6,im,422.0,A2,0.41423047271063845
6,im,750.0,A2,0.4815575595936656
6,im,1330.0,A2,0.40033935170752466
6,im,3160.0,A2,0.0955181078643285
6,im,5620.0,A2,0.6794237618131294
1,re,4.8,A3,0.1975094841622638
1,re,15.5,A3,0.3316942076359562
1,re,122.0,A3,0.0421885480566791
1,re,163.0,A3,0.13216293036567683
1,re,529.0,A3,0.023224892050607668
1,re,4140.0,A3,0.3907479330031601
1,re,5560.0,A3,0.010881626499173982
1,im,6.43,A3,0.5152624757599187
1,im,67.6,A3,0.21594760319384956
1,im,5560.0,A3,0.35272907073914833
