ns_state,freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
Ns1,0.254,3.720075976020678e-44,4.9784122222889134e-60,9.817286381605917e-09,3.5396729434794465e-08,4.908643190802958e-09,2.5029267415168634e-08
Ns1,0.34,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,0.456,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,0.612,0.0034019715812676796,0.012265982973931933,3.720075976020678e-44,4.9784122222889134e-60,0.0017009857906338398,0.008673359738786005
Ns1,0.822,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,1.1,3.720075976020678e-44,4.9784122222889134e-60,0.0005658850662332576,0.002040327622323346,0.0002829425331166288,0.001442729497587063
Ns1,1.48,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,1.99,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,2.66,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,3.57,3.720075976020678e-44,4.9784122222889134e-60,0.010025589042969268,0.03614777536115565,0.005012794521484634,0.02556033708268116
Ns1,4.8,3.720075976020678e-44,4.9784122222889134e-60,0.1733370268593572,0.14624223001389694,0.0866685134296786,0.10340887253866939
Ns1,6.43,3.720075976020678e-44,4.9784122222889134e-60,0.0945801019786635,0.12850354418487953,0.04729005098933175,0.09086572749963345
Ns1,8.64,3.720075976020678e-44,4.9784122222889134e-60,3.523744032216798e-30,1.270503978939277e-29,1.7618720161084177e-30,8.983819790324533e-30
Ns1,11.6,3.720075976020678e-44,4.9784122222889134e-60,7.913509408107354e-07,2.8532563939797753e-06,3.956754704053677e-07,2.0175569446469744e-06
Ns1,15.5,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,20.9,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,28.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,37.5,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns1,50.3,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
