cell,rmse,mae,r2
A1,0.02098438591576633,0.0164012408741374,0.9616739694638832
A2,0.05746422898163585,0.05322163772900931,0.8061506064973921
A3,0.054901322124134906,0.044137536350966455,0.6017842124022794
A4,0.1329935520985421,0.0740592475235846,0.5515610729951943
A5,0.09884286517489535,0.07520091810020053,0.932336543001434
A6,0.008311414609193955,0.00782108787187512,0.9098321031672649
A7,0.11615260465357893,0.08093165702266013,0.9029855420817299
A8,0.028084523502182584,0.026783840425631724,0.785769199824796
_mean_,0.06471686213249125,0.04731964573725816,0.8065116561792467
