model,eis_ns,n_features,pooled_rmse,pooled_r2,mean_per_cell_rmse,rmse_soh_below_0.4
gpr,1,74,0.14526613311234388,0.793611021795608,0.11262504876459366,0.2979693497368888
gpr,6,66,0.14374109756733894,0.7979217081381119,0.11036614205684343,0.29398311606326666
gpr,1+6,140,0.13161949534022258,0.8305669255574688,0.10160762928862241,0.2731768218365112
xgb,1,74,0.05227191293353506,0.9732764262293159,0.05359306306047173,0.052167733198300106
xgb,6,66,0.044208938446536755,0.9808848406773203,0.04060659054280525,0.049396104231954376
xgb,1+6,140,0.041603002746097795,0.9830719433479855,0.03740872835541453,0.04941056455938288
