cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.10446828229168799,0.048344101476066194,0.872171885972155
B5,54,0.018059886909890896,0.0987692183332727,0.09658545705919787,-29.47411280296181
B2,115,0.284088770367457,0.06982582843181878,0.05025372298914385,0.9390579514282773
B1,102,0.29117526849105946,0.06695325544474282,0.05615363208025608,0.9466034465793915
A5,298,0.3806257291729255,0.06638537943081745,0.053666274629023854,0.9694783214216594
B3,127,0.32523502260537157,0.060507021516910606,0.0309010207737449,0.9651140853368704
A4,269,0.1989700349695507,0.05229536366663043,0.03308767696428144,0.930662447397557
A7,300,0.37353883121969395,0.052293320149435135,0.037129883315699615,0.9803360397264903
A6,266,0.027731084791132867,0.03916771014840331,0.03646773761039175,-1.0024349175501825
A8,266,0.060791657706454956,0.03168922059627743,0.027792903610293473,0.7272461397293362
B6,54,0.018391341700169612,0.03133607982810998,0.028395702365409985,-1.9578789263160337
A2,266,0.13076250811495926,0.02782698442264424,0.02210643447955181,0.9545429164799165
A1,267,0.10739007763040216,0.027679257480411574,0.021726700186477457,0.9333177595321986
A3,266,0.08716486212251803,0.02110596110544196,0.017151034254965003,0.9411477414033964
