horizon,n,rmse,r2,rmse_persistence,skill_vs_persistence,rmse_delta,r2_delta
0,2785,0.04159626867028037,0.983077423028947,0.0,,0.04159626867028037,
1,2771,0.0421652776434244,0.9826104443490283,0.010677880552192888,-2.948843353072069,0.0421652776434244,-16.01114804027011
2,2757,0.04202743615752754,0.9827228202346229,0.016406394531695602,-1.5616497321416056,0.04202743615752754,-6.647099589395264
5,2715,0.04181139292056264,0.9828962005179085,0.032901559420338206,-0.27080277218461557,0.04181139292056264,-1.064895920577115
10,2645,0.04301663611901173,0.9819457668369447,0.061095458240692214,0.2959110651148077,0.04301663611901173,0.3413761057831939
20,2505,0.049402990190818626,0.9765761983451241,0.11372179114436468,0.5655802665990042,0.049402990190818626,0.7416946105517203
40,2225,0.05007395171135499,0.9765997252858447,0.18931460889906643,0.7354987446423005,0.05007395171135499,0.8955632429861299
