horizon,n,rmse,r2,rmse_persistence,skill_vs_persistence,rmse_delta,r2_delta
1,2771,0.011275627443718959,0.9987564593340177,0.010677880552192888,-0.05597991929243995,0.011275627443718959,-0.2164804430720748
2,2757,0.01411563879490177,0.9980510166403594,0.016406394531695602,0.13962578629742872,0.01411563879490177,0.13735516724129804
5,2715,0.017573964518005646,0.9969783593474937,0.032901559420338206,0.46586226222632343,0.017573964518005646,0.6352054136659382
10,2645,0.026327559955122336,0.9932371870394101,0.061095458240692214,0.5690750063384082,0.026327559955122336,0.7532905348160546
20,2505,0.03987976830386411,0.9847364285942628,0.11372179114436468,0.6493216655967144,0.03987976830386411,0.8316813464175716
40,2225,0.05609312558107172,0.9706359128838932,0.18931460889906643,0.703704188983229,0.05609312558107172,0.868946409025538
