ns_state,freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
6,7500.0,0.13319882643249895,0.15356245684085973,0.3563877752196758,0.29397445014421164,0.24479330082608736,0.23452335223660828
6,31.6,0.014458088415196009,0.03564167426251331,0.4346483424160948,0.2038367826507978,0.2245532154156454,0.14632115859584985
6,17.8,0.09066643453604273,0.1246715304785811,0.31451625728578153,0.2606996664370901,0.20259134591091213,0.2043371069975811
6,23.7,0.038997334533300364,0.0975762502611363,0.31606674960662734,0.3236532260590838,0.17753204206996384,0.23903193861226613
6,564.0,0.020128749200465472,0.04072475195942632,0.24149448576617782,0.22345626690780715,0.13081161748332165,0.16061010030899356
6,422.0,0.01501560412001382,0.030378569428909326,0.23025265742570894,0.21452977788883257,0.12263413077286138,0.15320881678542345
6,5620.0,0.07674782260288539,0.13435378071593768,0.15876640313658302,0.23829471118807932,0.1177571128697342,0.19343643370998703
6,750.0,0.003622255160083627,0.01097310025412325,0.21729029426654464,0.1867331733186254,0.11045627471331414,0.13226807427877454
1,7450.0,0.05156982379920348,0.12616682784229463,0.1647331970756998,0.24473503973854238,0.10815151043745164,0.19469631239909646
1,6.43,0.00023506820316495012,0.0008475504597424141,0.20349301830490735,0.23664755523369557,0.10186404325403615,0.1673361642620429
6,316.0,0.033031113301847506,0.0538778141601019,0.1683267834171967,0.20128133356852795,0.1006789483595221,0.14733803667382617
1,4.8,0.0159008422789844,0.057331302159943934,0.1732525622025402,0.2377507759231879,0.0945767022407623,0.17293396089177032
6,56.2,0.022082236753614988,0.07961863689209434,0.1634529336388406,0.22607071909941703,0.09276758519622778,0.1694802309632051
6,42.2,0.01589195163643729,0.035641372332718836,0.14028282079183596,0.21517807757927224,0.07808738621413662,0.15422696342156061
6,4220.0,0.08567543428117896,0.12940968075714682,0.06388561619334766,0.13154162274102818,0.0747805252372633,0.13048000610631813
6,1000.0,0.027760344922080328,0.0639473276251785,0.11287572506608838,0.13331711645489105,0.07031803499408436,0.10455313063282444
6,1.33,0.1372731257312025,0.16251988343662277,2.432946959025308e-32,8.772114524317757e-32,0.06863656286560126,0.11491891165568323
6,10.0,0.07335369125243353,0.12624693993029776,0.02618403816590819,0.09440789220588806,0.04976886470917086,0.11147004071167013
6,2.37,0.08979666675750288,0.17909993383205292,0.009003760816078038,0.023111934298439024,0.04940021378679046,0.1276928890065165
1,3.57,0.01460440532384638,0.05265693224278738,0.08156179473316598,0.1660714389416308,0.04808310002850618,0.12319187340357582
1,67.6,0.003241670474368634,0.01120179775255557,0.07962710339231362,0.09641831028105374,0.04143438693334112,0.06863661861696974
6,1330.0,0.01336922339598349,0.03987311558986124,0.06948376530998242,0.12417304576569108,0.04142649435298296,0.09221933268455927
6,1780.0,0.017530959061464547,0.04550669388858675,0.06206681262410047,0.09810250372813914,0.03979888584278251,0.07646881856809053
1,219.0,0.023765951854781538,0.04177958960920336,0.055506197348117056,0.11588188465640362,0.0396360746014493,0.08710380387627593
6,3.16,0.07580100327587326,0.12944646701838713,5.144733152921137e-22,1.8549599181436677e-21,0.03790050163793663,0.09153247462934232
1,8.64,0.026209534636642662,0.05069968621216411,0.04618514062658293,0.1336290379731793,0.0361973376316128,0.10106230249615654
1,4140.0,0.0289863928820735,0.10308818672083449,0.0414373278890673,0.060326405680713936,0.0352118603855704,0.08445842013601637
1,394.0,0.0026137511716961747,0.006478149051694956,0.06357195345335775,0.0695959283540848,0.03309285231252696,0.049424486130878895
6,178.0,0.019898042423972247,0.03912989888368445,0.04526168996855906,0.09803015294116099,0.032579866196265655,0.07463598285115158
1,294.0,0.025427169868170955,0.08741920288136996,0.03779734044509151,0.11066160596217649,0.031612255156631235,0.09971987782418844
6,3160.0,0.0008465907854829141,0.0030256191779362736,0.06001283934422551,0.09310608476843348,0.030429715064854212,0.06587069679423703
6,0.999,0.05898506404433728,0.1294672735057267,1.505689435088556e-20,5.428840463136198e-20,0.02949253202216864,0.0915471870376328
6,13.3,0.019323850315233947,0.06967313315095248,0.03303024465912105,0.11909158203019403,0.026177047487177498,0.09756318566325309
1,50.3,0.04340894059394972,0.06588469759931731,0.0057006402643555,0.020553950776108346,0.024554790429152613,0.04880193782146449
6,237.0,0.0188907548805223,0.045824103182993674,0.02799237962282227,0.09168401315829978,0.023441567251672284,0.07247691598480491
6,1.78,5.662305622783412e-29,2.0374069301916498e-28,0.046870042867771175,0.09559031502351413,0.023435021433885588,0.06759255996888515
6,102.0,0.04617992554815091,0.09378398071915352,2.6798077312454664e-39,9.661916001218307e-39,0.023089962774075455,0.06631528873318188
1,28.0,0.040854278887299214,0.06844962721669025,0.002367309525752668,0.008535455879995586,0.02161079420652594,0.0487760467503426
1,5560.0,0.001999206953150051,0.005865672998017201,0.04036604911744434,0.08619781818713523,0.021182628035297194,0.06109202067349749
1,1.99,0.02869125547578869,0.0747935965100981,0.01252084887851128,0.04514456264380821,0.020606052177149985,0.06177424064776549
6,7.5,0.03618157065171879,0.09620245968136273,1.0544131471985673e-37,3.795325092334617e-37,0.018090785325859397,0.06802541160751702
1,90.6,0.007040186691931888,0.024494726249938228,0.027735199354514534,0.05502810645438589,0.01738769302322321,0.042591572605473485
6,5.62,0.03444349661178675,0.1241877931400673,1.0336697509459216e-29,3.7269492888928284e-29,0.017221748305893375,0.08781403066993379
