mode,ox/red,error,control changes,Ns changes,counter inc.,Ns,I Range,time/s,control/V/mA,Ecell/V,I/mA,dq/mA.h,(Q-Qo)/mA.h,|Energy|/W.h,freq/Hz,|Z|/Ohm,Phase(Z)/deg,Q charge/discharge/mA.h,half cycle,Energy charge/W.h,Energy discharge/W.h,Capacitance charge/µF,Capacitance discharge/µF,step time/s,z cycle,Re(Z)/Ohm,#NAME?,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg,x,Q discharge/mA.h,Q charge/mA.h,Capacity/mA.h,Efficiency/%,control/V,control/mA,cycle number,P/W,R/Ohm
3,0,0,0,0,0,0,115,0.00E+00,0.00E+00,3.52E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,1,0,1,1,0,1,113,1.54E+01,3.52E+00,3.52E+00,6.89E+01,-4.12E-03,-4.12E-03,2.93E-04,1.00E+04,1.90E-02,4.27E+01,-4.12E-03,0,0.00E+00,2.93E-04,0.00E+00,0.00E+00,1.54E+01,0,1.40E-02,-1.29E-02,3.87E+01,-3.57E+01,5.27E+01,-4.27E+01,1.00E+00,4.12E-03,0.00E+00,4.12E-03,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.42E-01,5.10E+01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,1,0,0,1,113,1.86E+01,3.52E+00,3.51E+00,1.84E+02,1.38E-02,9.72E-03,6.64E-04,7.45E+03,1.65E-02,3.70E+01,9.72E-03,0,3.72E-04,2.93E-04,0.00E+00,0.00E+00,1.86E+01,0,1.32E-02,-9.94E-03,4.84E+01,-3.65E+01,6.06E+01,-3.70E+01,1.00E+00,0.00E+00,9.72E-03,9.72E-03,0.00E+00,3.52E+00,0.00E+00,0.00E+00,6.45E-01,1.91E+01
2,1,0,1,0,0,1,113,2.18E+01,3.52E+00,3.52E+00,3.27E+02,2.25E-02,3.22E-02,1.29E-03,5.56E+03,1.47E-02,3.05E+01,3.22E-02,0,9.99E-04,2.93E-04,1.27E+07,0.00E+00,2.18E+01,0,1.27E-02,-7.47E-03,5.85E+01,-3.44E+01,6.79E+01,-3.05E+01,1.00E+00,0.00E+00,3.22E-02,3.22E-02,0.00E+00,3.52E+00,0.00E+00,0.00E+00,1.15E+00,1.08E+01
2,1,0,1,0,0,1,113,2.50E+01,3.52E+00,3.52E+00,6.34E+02,2.23E-02,5.45E-02,2.25E-03,4.14E+03,1.36E-02,2.37E+01,5.45E-02,0,1.96E-03,2.93E-04,3.98E+07,0.00E+00,2.50E+01,0,1.24E-02,-5.46E-03,6.75E+01,-2.97E+01,7.38E+01,-2.37E+01,1.00E+00,0.00E+00,5.45E-02,5.45E-02,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.23E+00,5.55E+00
2,0,0,1,0,0,1,113,2.82E+01,3.52E+00,3.52E+00,-4.04E+02,2.05E-02,7.50E-02,3.40E-03,3.09E+03,1.28E-02,1.73E+01,7.50E-02,0,3.10E-03,2.93E-04,2.24E+07,0.00E+00,2.82E+01,0,1.23E-02,-3.82E-03,7.44E+01,-2.32E+01,7.79E+01,-1.73E+01,1.00E+00,0.00E+00,7.50E-02,7.50E-02,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-1.42E+00,8.71E+00
2,1,0,1,0,0,1,113,3.46E+01,3.52E+00,3.51E+00,6.29E+02,1.88E-02,1.14E-01,5.87E-03,1.71E+03,1.24E-02,6.66E+00,1.14E-01,0,5.57E-03,2.93E-04,1.11E+08,0.00E+00,3.46E+01,0,1.23E-02,-1.44E-03,8.00E+01,-9.34E+00,8.06E+01,-6.66E+00,1.00E+00,0.00E+00,1.14E-01,1.14E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.21E+00,5.58E+00
2,1,0,1,0,0,1,113,3.78E+01,3.52E+00,3.52E+00,7.62E+02,1.79E-02,1.32E-01,7.12E-03,1.28E+03,1.25E-02,2.79E+00,1.32E-01,0,6.83E-03,2.93E-04,1.01E+08,0.00E+00,3.78E+01,0,1.25E-02,-6.09E-04,7.98E+01,-3.88E+00,7.99E+01,-2.79E+00,1.00E+00,0.00E+00,1.32E-01,1.32E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.68E+00,4.61E+00
2,1,0,1,0,0,1,113,4.10E+01,3.52E+00,3.52E+00,7.11E+02,1.41E-02,1.46E-01,8.37E-03,9.52E+02,1.27E-02,-3.10E-01,1.46E-01,0,8.08E-03,2.93E-04,4.94E+07,0.00E+00,4.10E+01,0,1.27E-02,6.89E-05,7.85E+01,4.24E-01,7.85E+01,3.10E-01,1.00E+00,0.00E+00,1.46E-01,1.46E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.51E+00,4.95E+00
