freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
0.999,0.031904755467144254,0.11503423176792864,0.13246285646673925,0.16459453143688998,0.08218380596694175,0.14199337001664353
1.33,0.06116064196240662,0.15209804756869277,0.016004189632363906,0.044641255618244016,0.038582415797385264,0.11208625646657518
1.78,1.467518132630368e-09,5.291211874871955e-09,3.720075976020678e-44,4.9784122222889134e-60,7.33759066315184e-10,3.741451797416746e-09
2.37,2.8456401061711497e-27,1.025767953155768e-26,3.861107070277335e-38,1.3921406109016789e-37,1.4228200531048804e-27,7.253274756002884e-27
3.16,2.0532912355554697e-18,7.403246833256052e-18,0.014727513289793928,0.05310080432642936,0.007363756644896965,0.03754793882567816
4.22,3.8127975110090703e-35,1.3747236914465995e-34,1.0172533971928164e-42,3.533630036916993e-42,1.906398806367205e-35,9.720764444796938e-35
5.62,5.7029841786987475e-30,2.0528689336689066e-29,0.008842734733032686,0.031882933495275725,0.004421367366516343,0.02254463847862918
7.5,9.573216593162703e-35,3.4516723284357894e-34,0.013167660914775904,0.04747667660614759,0.006583830457387952,0.03357107997640769
10.0,5.936041104048586e-44,7.989775893744748e-44,8.97462477755374e-20,3.235404513424898e-19,4.48731238877687e-20,2.2877764713243075e-19
13.3,4.534238182550699e-44,2.9355035821888936e-44,0.038284017523099685,0.13800504210179032,0.019142008761549843,0.09758430110811094
17.8,4.956620957800124e-41,1.7768979825891902e-40,0.3538295289455805,0.25676363523694884,0.17691476447279025,0.18155930763815567
23.7,3.720075976020678e-44,4.9784122222889134e-60,0.11210946932002355,0.2161508478093346,0.056054734660011776,0.1528417302452019
31.6,3.720075976020678e-44,4.9784122222889134e-60,4.931658347214667e-15,1.6676160869015432e-14,2.4658291736073333e-15,1.1791826434638561e-14
42.2,3.720075976020678e-44,4.9784122222889134e-60,9.728434595652943e-33,3.131462009878166e-32,4.864217297845071e-33,2.2142780222129069e-32
56.2,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
75.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
102.0,1.4812980767123577e-05,5.340896169832594e-05,6.532472512507805e-42,2.0776984563025177e-41,7.406490383561788e-06,3.776583899301886e-05
135.0,3.720075976020678e-44,4.9784122222889134e-60,0.009643921694901247,0.03477165416752602,0.004821960847450624,0.024587272454931124
178.0,3.720075976020678e-44,4.9784122222889134e-60,1.2428793424746784e-16,4.481265148968061e-16,6.214396712373392e-17,3.16873297513026e-16
237.0,3.720075976020678e-44,4.9784122222889134e-60,0.03607059208723084,0.09159323497798516,0.01803529604361542,0.06476619756374619
316.0,0.00013359811765420137,0.00048169486350769364,0.1723582326007951,0.18322482651221658,0.08624591535922466,0.12955996503622058
422.0,0.044345062638914176,0.15980681553167556,0.039776875738952465,0.11128052020439755,0.04206096918893332,0.1376981707709589
564.0,1.9330289514911394e-16,6.969635001557694e-16,0.06784908115177993,0.16620181565061928,0.03392454057589006,0.11752243089206936
750.0,0.02093177529251025,0.0576762625820961,0.11117966179355797,0.16794414699710933,0.0660557185430341,0.12556231077840507
1000.0,0.013672823742258033,0.04375461706914177,5.740808395135631e-43,1.7691787575081242e-42,0.006836411871129017,0.03093918643781081
1330.0,0.013743047653215972,0.048027420978728426,3.781894296175708e-44,2.228891230820091e-45,0.006871523826607986,0.03396051505695992
1780.0,0.055314698605972774,0.12148524427607649,4.1082622633276244e-44,1.399625563317191e-44,0.027657349302986387,0.08590304004171789
2370.0,0.06542032518465327,0.08331251169485115,5.001813687953305e-41,1.8020882797553115e-40,0.03271016259232663,0.0589108419771128
3160.0,0.002003922645506103,0.00722524399986138,0.009897430523191558,0.03516365478886177,0.005950676584348831,0.025383919801399608
4220.0,8.07406787752351e-23,2.911146573398772e-22,0.07554935759385877,0.0959005573398159,0.03777467879692938,0.06781193441455315
5620.0,0.18943408637190087,0.27362868002257223,0.03846551628116367,0.07932024425430385,0.11394980132653226,0.20145018699353154
7500.0,0.13137914196504336,0.20630530248847578,0.18719084398258976,0.20929917483211583,0.15928499297381654,0.20780763029815108
10000.0,0.08001649581027266,0.15565339733677064,0.07911505589413612,0.09740217043012558,0.0795657758522044,0.12983674924107164
