cell,n,soh_std,rmse,mae,r2
A4,68,0.26327487977087627,0.8566114947695933,0.8084967622453686,-9.744422050605575
A5,16,0.015647407170275705,0.10570327419903447,0.10030424298362167,-47.676667287046236
A7,15,0.09440860436243984,0.09684385518455911,0.08376423185664686,-0.1274160353942666
A8,15,0.053819375724116235,0.06712933364355986,0.06255595219037485,-0.6669039818970175
A1,15,0.03170503601943104,0.040579743649301114,0.03513993117082353,-0.7551947851380705
A2,15,0.08682577879440324,0.026410532914163853,0.0187316654976276,0.9008665598270457
A3,16,0.012570688593717788,0.023776226673817652,0.020541178503280272,-2.815895322163074
A6,16,0.012624420167360824,0.018016053905743314,0.012121111769886866,-1.172326940232724
