cell,n,soh_std,rmse,mae,r2
B3,127,0.32523502260537157,0.48463073617442187,0.4208239931442269,-1.2380020123295155
B4,135,0.2932822289593264,0.4089970972086034,0.3825739307094043,-0.9592864044851461
B1,102,0.29117526849105946,0.19494261338278127,0.13961673808167838,0.5473282455025263
B5,54,0.018059886909890896,0.08782111945637186,0.08537856711407053,-23.09271675142605
A4,269,0.1989700349695507,0.08286670865541931,0.05255274018256854,0.8258985802378189
B2,115,0.284088770367457,0.07960253065668624,0.06466115074449769,0.9207975521210532
A5,298,0.3806257291729255,0.058356422616560114,0.04654586183737238,0.9764147299968359
A3,266,0.08716486212251803,0.049933100417301944,0.044697430296012926,0.6705951923812019
A1,267,0.10739007763040216,0.04574183979085938,0.031232138954058884,0.8178921911055324
A7,300,0.37353883121969395,0.03213518876712098,0.028739011806819505,0.9925742509902208
A2,266,0.13076250811495926,0.032049135410197056,0.028748256583933405,0.9397021378364325
B6,54,0.018391341700169612,0.024848595522344665,0.01925797249199188,-0.8599221095921004
A8,266,0.060791657706454956,0.007731619677926302,0.006625014059590906,0.9837636368714713
A6,266,0.027731084791132867,0.006653361464001668,0.005705170420691725,0.9422191026692758
