cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.3230553425674119,0.29664414677964,-0.22239433571256195
B3,127,0.32523502260537157,0.301229604814118,0.23755903401974862,0.13536289694293147
B1,102,0.29117526849105946,0.26320771416979705,0.19078111899849307,0.1747851096135855
A4,269,0.1989700349695507,0.0944494585411472,0.05440682723522781,0.7738268334072846
A5,298,0.3806257291729255,0.0711650284493086,0.053845782735962175,0.9649250722229605
B2,115,0.284088770367457,0.06789195381470615,0.05525251296550084,0.9423868701262375
B6,54,0.018391341700169612,0.031160227556697274,0.03025964219855925,-1.924773940710042
A7,300,0.37353883121969395,0.03098584668457147,0.027943105833297965,0.9930959283367917
A3,266,0.08716486212251803,0.029622965182111084,0.025972504099264295,0.8840662393059506
A2,266,0.13076250811495926,0.024842977502703267,0.014973866991564251,0.9637693128663882
A1,267,0.10739007763040216,0.02104836467768369,0.01515109840687918,0.9614399106744279
B5,54,0.018059886909890896,0.017119747099429584,0.015229865320183953,0.0844490303958576
A6,266,0.027731084791132867,0.0112272374285567,0.01045430306432001,0.8354689538130098
A8,266,0.060791657706454956,0.010738662791635638,0.007697212883878195,0.9686780926430405
