ns,part,freq,fold,weight
1,re,2.66,A1,1.431433492364829e-06
1,re,50.3,A1,0.0060904445280482
1,re,67.6,A1,0.0021165434830177
1,re,710.0,A1,8.836004657727102e-18
1,re,952.0,A1,0.2254409111273151
1,re,1280.0,A1,0.0174612934357633
1,re,1710.0,A1,0.2622058772711506
1,re,5560.0,A1,0.0005081976367329
1,im,6.43,A1,0.501110771094388
1,im,37.5,A1,0.0133249851048079
1,im,90.6,A1,0.1095487508912215
1,im,294.0,A1,0.0178678588991404
1,im,394.0,A1,0.0967937182893552
1,im,2300.0,A1,0.0258091929168561
1,im,7450.0,A1,0.0111948542363871
6,re,1.33,A1,0.302548504488048
6,re,10.0,A1,0.3325122359997353
6,re,56.2,A1,0.3184260703761732
6,re,135.0,A1,0.1851353416330002
6,re,422.0,A1,0.0999325771847128
6,re,564.0,A1,0.1335134849107465
6,re,750.0,A1,0.0005005161671279
6,re,4220.0,A1,0.0473736148342904
6,re,5620.0,A1,0.2316345203314526
6,re,10000.0,A1,2.1576694185392778e-13
6,im,13.3,A1,1.312022252731095e-19
6,im,23.7,A1,0.6638291477692999
6,im,31.6,A1,0.5131516949962267
6,im,42.2,A1,0.6100081647495476
6,im,56.2,A1,5.7533366319186376e-27
6,im,178.0,A1,0.0479304049021702
6,im,316.0,A1,0.2840771025220907
6,im,422.0,A1,0.6443306771773287
6,im,564.0,A1,1.4679185487041372e-18
6,im,750.0,A1,0.4431635424510068
6,im,1000.0,A1,0.0991850104399716
6,im,1780.0,A1,0.0162859945517085
6,im,3160.0,A1,0.0012806701431489
6,im,5620.0,A1,0.7303734052405599
6,im,10000.0,A1,4.124593956232525e-07
1,re,394.0,A2,0.0055397966219775
1,re,710.0,A2,0.0191107223070528
1,re,2300.0,A2,0.0039395680081981
1,re,4140.0,A2,0.0016565184735625
1,im,6.43,A2,0.3823326186064203
1,im,50.3,A2,0.0798923956170824
1,im,394.0,A2,0.1135759173630931
1,im,4140.0,A2,0.0271794652358887
1,im,5560.0,A2,0.0001424281175262
6,re,0.999,A2,2.658243998183093e-42
6,re,1.33,A2,0.2637981026172525
6,re,1.78,A2,2.04557364030882e-37
6,re,3.16,A2,0.1585126689911502
6,re,4.22,A2,5.3634365890246405e-17
6,re,5.62,A2,1.1531147876398888e-17
6,re,23.7,A2,0.0169975811533441
6,re,31.6,A2,1.0794714761540157e-23
6,re,178.0,A2,0.0978827394400482
6,re,422.0,A2,0.0291243211876441
6,re,750.0,A2,0.0427666230902208
6,re,1000.0,A2,2.8701170989570456e-39
6,re,2370.0,A2,0.0179356464051187
6,re,4220.0,A2,0.0137168317921848
6,re,5620.0,A2,0.002063374552269
6,re,7500.0,A2,0.3938107190838256
6,im,5.62,A2,9.736519450787768e-33
