cell,rmse,mae,r2
A1,0.035725101602832834,0.023854507189369968,0.8631257929927132
A2,0.07417833834166422,0.06309130692726644,0.5942730079307967
A3,0.05432153109059386,0.04119951487724675,0.5792473386570094
A4,0.12298083069824103,0.0849167465887347,0.574878213205115
A5,0.10471479586315534,0.08487275272764666,0.9260367974923724
A6,0.016619939175323444,0.01313546438560194,0.6529244313137299
A7,0.13538689248701852,0.10263498038482444,0.86606126618774
A8,0.027914365276944283,0.020317535442422246,0.7395752230134554
_mean_,0.0714802243169717,0.05425285106538914,0.7245152588491166
