variant,rmse,r2,per_cell,low_rmse,low_bias,within2s
"zero mean, 140 feats (baseline)",0.13161949534022258,0.8305669255574688,0.10160762928862241,0.2731768218365112,0.1682722187641455,0.5396768402154398
"linear mean, 140 feats",0.05032473925940603,0.9752302960628285,0.04792405237209605,0.07414001034604739,0.0038222777375804956,0.5622980251346499
"zero mean, ARD top-10",0.14939747592393957,0.781704758397255,0.11402214780004256,0.3069774406659521,0.19661953801829296,0.5044883303411131
"zero mean, ARD top-20",0.14520098775837367,0.7937960927126768,0.11257337198990199,0.30333113191048705,0.20366031123942535,0.44129263913824057
"zero mean, ARD top-40",0.11689404098984262,0.8663581455305694,0.09269608080570556,0.23972587066047943,0.14690999466214744,0.4574506283662478
"linear mean, ARD top-20",0.051839008483448294,0.9737172308001404,0.050960958321425436,0.08104823066964235,0.0006305814966079659,0.5515260323159784
