cell,rmse,mae,r2
A1,0.02098367162479611,0.01640069912943341,0.9616765785916146
A2,0.05746422898921312,0.05322163773651551,0.80615060644627
A3,0.05490136826257899,0.04413749456942049,0.6017835430899985
A4,0.13299355209853256,0.07405924752354975,0.5515610729952587
A5,0.09884285382901012,0.07520090123610065,0.9323365585352162
A6,0.008311414136391434,0.007821087330274435,0.9098321134258334
A7,0.11615260467133498,0.08093165703162354,0.9029855420520689
A8,0.028084613857891797,0.02678391643543251,0.7857678213426564
_mean_,0.06471678843371864,0.04731958012404379,0.8065117295598645
