freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
0.999,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
1.33,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
1.78,3.720075976020678e-44,4.9784122222889134e-60,0.06750943718507026,0.06385211470229873,0.03375471859253513,0.04515026329909669
2.37,3.720075976020678e-44,4.9784122222889134e-60,0.023580416683309256,0.04461637868114223,0.011790208341654628,0.03154854391742258
3.16,3.720075976020678e-44,4.9784122222889134e-60,3.9932759154769163e-44,7.228190979991107e-45,3.8566759457487973e-44,5.1111028576631484e-45
4.22,3.720075976020678e-44,4.9784122222889134e-60,0.02408378070412788,0.05958097404266611,0.01204189035206394,0.042130110775268875
5.62,2.075467522413853e-30,5.491170918498332e-30,0.007604719477671663,0.01289690667633055,0.0038023597388358314,0.00911949016716339
7.5,4.669923649787936e-06,1.2355456618997968e-05,0.006101743717103091,0.016064519309736326,0.0030532068203764397,0.011359333900150122
10.0,3.720075976020678e-44,4.9784122222889134e-60,0.00019231357410097938,0.0005088138908131834,9.615678705048969e-05,0.0003597857525559136
13.3,0.002930177907540813,0.0077525220405286034,3.720075976020678e-44,4.9784122222889134e-60,0.0014650889537704064,0.005481860906155946
17.8,2.1038453000202557e-09,5.566251460805668e-09,1.4369655928682007e-40,3.800869361696669e-40,1.0519226500101278e-09,3.935934153725214e-09
23.7,0.0008155919178039267,0.002157853385823422,0.0031338985874135,0.00799338782294958,0.0019747452526087134,0.005854510232410062
31.6,3.720075976020678e-44,4.9784122222889134e-60,0.07384580597685465,0.053549834372765746,0.03692290298842733,0.03786545101639913
42.2,3.850107913106216e-06,1.0186428058840927e-05,0.05077542662625839,0.07827982551490505,0.02538963836708575,0.05535219592033949
56.2,3.720075976020678e-44,4.9784122222889134e-60,0.02837411018863558,0.040965699671153294,0.01418705509431779,0.028967124033524014
75.0,3.720075976020678e-44,4.9784122222889134e-60,9.12793171873457e-15,2.4150237312150053e-14,4.563965859367285e-15,1.7076796570685683e-14
102.0,0.005988603456270924,0.01427539299847083,3.720075976020678e-44,4.9784122222889134e-60,0.002994301728135462,0.010094227193321686
135.0,0.00595828511723981,0.015764140660633863,2.039635442301411e-29,5.396368145562754e-29,0.002979142558619905,0.011146930760712786
178.0,0.00016784246825339162,0.0004440694304337278,8.702470180105168e-43,2.2040332299432093e-42,8.392123412669581e-05,0.0003140045055773367
237.0,3.05737383816954e-05,8.08905084075164e-05,0.0013167431573369707,0.0034837749348590606,0.000673658447859333,0.0024640648399649186
316.0,0.025218690497310466,0.06671746055214282,0.005812741265110757,0.011285776362375016,0.01551571588121061,0.047846568793531455
422.0,0.0004335272312764734,0.001138312608897577,0.009467548772877223,0.017938305055078145,0.004950538002076848,0.012709810066334927
564.0,0.0017781621313917452,0.004630545012256456,0.043544879421506894,0.05422515059775745,0.02266152077644932,0.038482521386078695
750.0,3.720075976020678e-44,4.9784122222889134e-60,0.01103690475245784,0.01793011409084451,0.00551845237622892,0.01267850526108462
1000.0,3.007936609526069e-33,7.946166955802977e-33,2.838246076202054e-41,7.499450881344698e-41,1.5039683189542649e-33,5.618788538888751e-33
1330.0,0.06792177599748125,0.17970130845369076,0.004296463060801699,0.011367369131279045,0.036109119529141476,0.12732198816570386
1780.0,0.015124980182586309,0.03951851103120548,3.720075976020678e-44,4.9784122222889134e-60,0.007562490091293154,0.02794380713256078
2370.0,0.00823769182809203,0.021794883954320554,0.0001246570991152713,0.00032981168341773766,0.004181174463603651,0.015413074682373053
3160.0,0.0012797135059225207,0.003385803686081572,7.666509025375163e-05,0.00020283676305174854,0.0006781892980881361,0.002398417118969183
4220.0,0.060476334268362214,0.1600053406781733,0.022013741657883622,0.03576799069303091,0.04124503796312292,0.11593329591570112
5620.0,0.05911697135371683,0.1562203197681786,0.10286588376501718,0.16515946013633967,0.080991427559367,0.16075203821569284
7500.0,0.07527174305983098,0.09919428714635409,0.22215842851252537,0.17900930199479415,0.14871508578617817,0.14471322814991164
10000.0,0.0006442665899835477,0.0016943137977315514,5.727925841230537e-05,0.00015154667304116443,0.00035077292419792653,0.0012028436389018647
